page_index	cancer_type	metric	metric_label	abs_pearson_r_threshold	barplot_order	drug	pearson_r	abs_pearson_r	group	plot_color	page_tsv_file	response_direction_note
24	LGG	Z_SCORE	GDSC Z-score	0.185	1	SORAFENIB	-0.801629018536647	0.801629018536647	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_24_LGG.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
24	LGG	Z_SCORE	GDSC Z-score	0.185	2	MIRA-1	-0.765981406887244	0.765981406887244	p53 pathway	#00C4FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_24_LGG.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
24	LGG	Z_SCORE	GDSC Z-score	0.185	3	VELIPARIB	-0.74815708763978	0.74815708763978	Genome integrity and DNA damage	#9DFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_24_LGG.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
24	LGG	Z_SCORE	GDSC Z-score	0.185	4	GDC0810	-0.719380747348481	0.719380747348481	Hormone related	#27FF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_24_LGG.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
24	LGG	Z_SCORE	GDSC Z-score	0.185	5	EPZ004777	-0.704153724694626	0.704153724694626	Epigenetics and transcription	#FFEB00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_24_LGG.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
24	LGG	Z_SCORE	GDSC Z-score	0.185	6	GEFITINIB	-0.678494427513344	0.678494427513344	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_24_LGG.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
24	LGG	Z_SCORE	GDSC Z-score	0.185	7	EHT-1864	-0.672209818401676	0.672209818401676	Cell cycle and mitosis	#FF7600	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_24_LGG.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
24	LGG	Z_SCORE	GDSC Z-score	0.185	8	SB216763	-0.671304729798324	0.671304729798324	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_24_LGG.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
24	LGG	Z_SCORE	GDSC Z-score	0.185	9	AZD6738	-0.668280517314225	0.668280517314225	Genome integrity and DNA damage	#9DFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_24_LGG.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
24	LGG	Z_SCORE	GDSC Z-score	0.185	10	OSIMERTINIB	-0.636525541429422	0.636525541429422	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_24_LGG.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
