figure,panel,approved_source,approved_generator,intended_content,regeneration_strategy
Figure 7,a,figures/Figure7/panel_7A_day17_tgi_calculation.pdf,Code/in-vivo/figure7/src/tgi_panels.R,Day-17 tumor-growth trajectories and matched vehicle references,Recompute the deterministic trajectory table from tracked CellCycle metadata and call figure7_panel_a_plot
Figure 7,b,figures/Figure7/panel_7C_day17_tgi_by_initial_ploidy.pdf,Code/in-vivo/figure7/src/tgi_panels.R,Day-17 TGI by injected 2N or 4N origin,Recompute the frozen dose-stratified summary from tracked metadata and call figure7_panel_c_plot
Figure 7,c,figures/Supplementary/panel_SuppFig4_composite.png,Code/in-vivo/SI_figures/shared_context_panels.R,Nine-cluster joint Tumor and CellLine UMAP,Validate the reviewed SI cache and call shared_context_build_si4_panels
Figure 7,d,figures/Supplementary/panel_SuppFig4_composite.png,Code/in-vivo/SI_figures/shared_context_panels.R,Joint UMAP by injected or cultured ploidy,Validate the reviewed SI cache and call shared_context_build_si4_panels
Figure 7,e,figures/Supplementary/panel_SuppFig4_composite.png,Code/in-vivo/SI_figures/shared_context_panels.R,Joint UMAP by xenograft or cultured source,Validate the reviewed SI cache and call shared_context_build_si4_panels
Figure 7,f,figures/Supplementary/panel_SuppFig4_composite.png,Code/in-vivo/SI_figures/normalized_composition.R,Equal-sample context composition with positive-enrichment stars,Recompute equal-sample proportions and exact stratified enrichment from the reviewed SI cache
Figure 7,g,figures/Supplementary/panel_SuppFig7_composite.png,Code/in-vivo/SI_figures/shared_context_panels.R,Row- and column-clustered Hallmark GSEA NES heatmap,Validate and cluster the frozen reviewed SI7B matrix without changing its values
Figure 7,h,figures/Figure7/panel_7B_cellcycle_selected_ecdf_comparisons.pdf,Code/in-vivo/figure7/src/tgi_panels.R,Equal-mouse CellCycle-pseudotime ECDF comparisons,Recompute the deterministic ECDF summaries and call figure7_panel_b_plot
Figure 7,i,figures/Figure7/panel_7F_pseudotime_state_pathway_activity.pdf,Code/in-vivo/figure7/src/state_pathway_panel.R,Fitted leading-edge pathway activity across CellCycle pseudotime,Validate the reviewed v3 frozen reference and call figure7_panel_f_plot
Figure 7,j,figures/Figure7/panel_7D_day17_tgi_vs_centered_ecdf_shift.pdf,Code/in-vivo/figure7/src/tgi_panels.R,Dose-centered pseudotime shift versus Day-17 TGI,Recompute the mouse-level centered association from tracked plotting inputs
Figure 7,k,figures/Figure7/panel_7E_day17_tgi_vs_mean_etp.pdf,Code/in-vivo/figure7/src/tgi_panels.R,Raw mean endpoint tumor-cell ploidy versus Day-17 TGI,Recompute the reviewed eight-mouse raw Pearson association on the 5335-cell treated universe
