category_label	category_group	category_group_definition	source_primary_classes	n_drugs	n_low_contexts	n_high_contexts	total_significant_contexts	n_low_only_contexts	n_high_only_contexts	n_both_contexts	min_low_pvalue	min_high_pvalue
DNA damage repair inhibitors	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	DNA damage repair inhibitors	19	5	3	8	5	3	0	0.0166666666666667	0.00333333333333333
Hormone therapy	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Hormone therapy	4	1	3	4	1	3	0	0.0133333333333333	0.0133333333333333
Proapoptotic agents	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Proapoptotic agents	14	4	2	6	4	2	0	0	0.0233333333333333
Chaperone/protein-homeostasis inhibitors	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Chaperone/protein-homeostasis inhibitors; Proteasome inhibitors	10	2	1	3	2	1	0	0.00666666666666667	0.0133333333333333
DNA-damaging agents	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Alkylating agents; Topoisomerase inhibitors	14	8	7	15	8	7	0	0	0
Metabolic/redox agents	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Metabolic/redox agents	14	1	2	3	1	2	0	0.0466666666666667	0
Serine/threonine kinase inhibitors	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Serine/threonine kinase inhibitors	63	8	9	17	8	9	0	0	0
WNT/HH pathway inhibitors	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Hedgehog pathway inhibitors; WNT-pathway modulators	10	1	2	3	1	2	0	0.0233333333333333	0.00666666666666667
Non-receptor tyrosine kinase inhibitors	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Non-receptor tyrosine kinase inhibitors	12	1	1	2	1	1	0	0.0233333333333333	0.0366666666666667
Other	bidirectional_context_dependent	>= 2 total significant contexts, at least one context in each direction, and absolute high-minus-low context difference <= 2	Other	34	3	3	6	3	3	0	0	0.00333333333333333
Epigenetic inhibitors	high_ploidy_biased	>= 2 total significant contexts and more high- than low-ploidy contexts after the bidirectional rule	Epigenetic inhibitors	45	2	7	9	2	7	0	0.00666666666666667	0
Receptor tyrosine kinase inhibitors	high_ploidy_biased	>= 2 total significant contexts and more high- than low-ploidy contexts after the bidirectional rule	Receptor tyrosine kinase inhibitors	25	2	6	8	2	6	0	0	0
Antimitotic agents	low_ploidy_biased	>= 2 total significant contexts and more low- than high-ploidy contexts after the bidirectional rule	Antimitotic agents	6	8	1	9	8	1	0	0	0
Tumor antibiotics	low_ploidy_biased	>= 2 total significant contexts and more low- than high-ploidy contexts after the bidirectional rule	Tumor antibiotics	3	6	0	6	6	0	0	0	0.07
Antimetabolites	low_ploidy_biased	>= 2 total significant contexts and more low- than high-ploidy contexts after the bidirectional rule	Antimetabolites	8	6	2	8	6	2	0	0	0.00666666666666667
p53/MDM2 pathway	weak_or_not_recurrent	< 2 total significant low/high enrichment contexts	p53/MDM2 pathway	5	1	0	1	1	0	0	0.00333333333333333	0.0933333333333333
