page_index	cancer_type	metric	metric_label	abs_pearson_r_threshold	barplot_order	drug	pearson_r	abs_pearson_r	group	plot_color	page_tsv_file	response_direction_note
17	COREAD	Z_SCORE	GDSC Z-score	0.185	1	NVP-ADW742	-0.360788791148043	0.360788791148043	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	2	LINSITINIB	-0.352206910017715	0.352206910017715	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	3	ABT737	-0.333285007989672	0.333285007989672	Proapoptotic agents	#00FFFF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	4	NAVITOCLAX	-0.315305084774502	0.315305084774502	Proapoptotic agents	#00FFFF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	5	SELUMETINIB	-0.304886077219803	0.304886077219803	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	6	SB505124	-0.288360419708954	0.288360419708954	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	7	TASELISIB	-0.284608206599349	0.284608206599349	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	8	TRAMETINIB	-0.280656010241213	0.280656010241213	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	9	IBRUTINIB	-0.278793513669062	0.278793513669062	Non-receptor tyrosine kinase inhibitors	#00FF40	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	10	REFAMETINIB	-0.278123696044396	0.278123696044396	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	11	SCH772984	-0.276496890051948	0.276496890051948	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	12	AVAGACESTAT	-0.268795948284707	0.268795948284707	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	13	AFATINIB	-0.237061391878553	0.237061391878553	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	14	SB590885	-0.236458239109481	0.236458239109481	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	15	LAPATINIB	-0.231478244462284	0.231478244462284	Receptor tyrosine kinase inhibitors	#0080FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	16	ULIXERTINIB	-0.221248379044114	0.221248379044114	Serine/threonine kinase inhibitors	#0040FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
17	COREAD	Z_SCORE	GDSC Z-score	0.185	17	ENTINOSTAT	-0.212309965977886	0.212309965977886	Epigenetic inhibitors	#BFFF00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_17_COREAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
