page_index	cancer_type	metric	metric_label	abs_pearson_r_threshold	barplot_order	drug	pearson_r	abs_pearson_r	group	plot_color	page_tsv_file	response_direction_note
2	STAD	Z_SCORE	GDSC Z-score	0.185	1	CEDIRANIB	-0.548543803467899	0.548543803467899	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_02_STAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
2	STAD	Z_SCORE	GDSC Z-score	0.185	2	AXITINIB	-0.479228419321484	0.479228419321484	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_02_STAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
2	STAD	Z_SCORE	GDSC Z-score	0.185	3	GSK2801	-0.463170530464617	0.463170530464617	Epigenetics and transcription	#FFEB00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_02_STAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
2	STAD	Z_SCORE	GDSC Z-score	0.185	4	743380	-0.434398318374694	0.434398318374694	Other reviewed	#00FFC4	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_02_STAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
2	STAD	Z_SCORE	GDSC Z-score	0.185	5	SGC-CBP30	-0.411785497949653	0.411785497949653	Epigenetics and transcription	#FFEB00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_02_STAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
2	STAD	Z_SCORE	GDSC Z-score	0.185	6	RUXOLITINIB	-0.40196095880509	0.40196095880509	Signaling	#2700FF	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_02_STAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
2	STAD	Z_SCORE	GDSC Z-score	0.185	7	BPD-00008900	-0.393287696546206	0.393287696546206	Other reviewed	#00FFC4	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_02_STAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
2	STAD	Z_SCORE	GDSC Z-score	0.185	8	N29087-69-1	-0.372546886245974	0.372546886245974	Other reviewed	#00FFC4	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_02_STAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
2	STAD	Z_SCORE	GDSC Z-score	0.185	9	I-BRD9	-0.337839975318968	0.337839975318968	Epigenetics and transcription	#FFEB00	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_02_STAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
2	STAD	Z_SCORE	GDSC Z-score	0.185	10	ALISERTIB	-0.329653165936019	0.329653165936019	Cell cycle and mitosis	#FF7600	tables/ploidyVsDrugSensitivity_pages/ploidyVsDrugSensitivity_page_02_STAD.tsv	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
