annotation_level,parent_cell_type,candidate_cell_type,plot_panel,marker_gene,marker_rank,marker_role,expected_in_nsg,reference,pmid,doi,marker_rationale,caveat
lineage,Immune,Neutrophil,myeloid_lineage,Csf3r,1,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Mouse neutrophil-lineage receptor","Can be expressed in granulocytic precursors"
lineage,Immune,Neutrophil,myeloid_lineage,Ly6g,2,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Canonical mouse neutrophil marker","Low in earliest precursors"
lineage,Immune,Neutrophil,myeloid_lineage,Retnlg,3,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Tumor-associated mouse neutrophil marker","Also marks granulocytic precursors"
lineage,Immune,Neutrophil,myeloid_lineage,S100a8,4,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Mature inflammatory neutrophil marker","Also high in inflammatory monocytes"
lineage,Immune,Neutrophil,myeloid_lineage,S100a9,5,positive,present,"Xie et al. Nature Immunology 2020",32719519,10.1038/s41590-020-0736-z,"Mature inflammatory neutrophil marker","Also high in inflammatory monocytes"
lineage,Myeloid,Classical monocyte,myeloid_lineage,Ly6c2,1,positive,present,"Kemp et al. Life Science Alliance 2021",33782087,10.26508/lsa.202000935,"Mouse inflammatory monocyte marker","Also present in Chil3-positive monocyte-like TAMs"
lineage,Myeloid,Classical monocyte,myeloid_lineage,Ccr2,2,positive,present,"Kemp et al. Life Science Alliance 2021",33782087,10.26508/lsa.202000935,"Recruiting classical-monocyte chemokine receptor","Can persist after tissue entry"
lineage,Myeloid,Classical monocyte,myeloid_lineage,Lyz2,3,positive,present,"Kemp et al. Life Science Alliance 2021",33782087,10.26508/lsa.202000935,"Core mouse myeloid transcript","Shared with macrophages and neutrophils"
lineage,Myeloid,Classical monocyte,myeloid_lineage,Chil3,4,positive,present,"Kemp et al. Life Science Alliance 2021",33782087,10.26508/lsa.202000935,"Chil3-positive monocyte-like tumor population","Also occurs in activated macrophages and granulocytes"
lineage,Myeloid,Classical monocyte,myeloid_lineage,Plac8,5,positive,present,"Kemp et al. Life Science Alliance 2021",33782087,10.26508/lsa.202000935,"Monocyte-like tumor-associated myeloid marker","Not lineage-specific alone"
